"","ID","Class","names_ap","count","AreaTotal","AreaClass","prop"
"1",1,1,"A",1018,8138700,916200,11.2573261085923
"2",1,111,"A",27,8138700,24300,0.298573482251465
"3",1,121,"A",326,8138700,293400,3.60499834125843
"4",1,122,"A",27,8138700,24300,0.298573482251465
"5",1,123,"A",5,8138700,4500,0.0552913856021232
"6",1,131,"A",1,8138700,900,0.0110582771204246
"7",1,141,"A",3385,8138700,3046500,37.4322680526374
"8",1,142,"A",154,8138700,138600,1.70297467654539
"9",1,143,"A",53,8138700,47700,0.586088687382506
"10",1,152,"A",29,8138700,26100,0.320690036492314
"11",1,176,"A",4018,8138700,3616200,44.4321574698662
"12",2,1,"B",258,8136900,232200,2.85366662979759
"13",2,111,"B",59,8136900,53100,0.6525826789072
"14",2,121,"B",585,8136900,526500,6.47052317221546
"15",2,122,"B",238,8136900,214200,2.63245216237142
"16",2,123,"B",16,8136900,14400,0.176971573940936
"17",2,124,"B",2,8136900,1800,0.022121446742617
"18",2,131,"B",2,8136900,1800,0.022121446742617
"19",2,141,"B",2938,8136900,2644200,32.4964052649043
"20",2,142,"B",648,8136900,583200,7.1673487446079
"21",2,143,"B",23,8136900,20700,0.254396637540095
"22",2,152,"B",28,8136900,25200,0.309700254396638
"23",2,176,"B",4242,8136900,3817800,46.9195885410906
"24",2,195,"B",2,8136900,1800,0.022121446742617
"25",3,1,"C",530,8136000,477000,5.86283185840708
"26",3,111,"C",15,8136000,13500,0.165929203539823
"27",3,121,"C",322,8136000,289800,3.56194690265487
"28",3,122,"C",9,8136000,8100,0.0995575221238938
"29",3,141,"C",4252,8136000,3826800,47.0353982300885
"30",3,142,"C",586,8136000,527400,6.48230088495575
"31",3,143,"C",95,8136000,85500,1.05088495575221
"32",3,152,"C",29,8136000,26100,0.320796460176991
"33",3,176,"C",3201,8136000,2880900,35.4092920353982
"34",3,195,"C",1,8136000,900,0.0110619469026549
"35",4,1,"D",788,8131500,709200,8.72163807415606
"36",4,111,"D",81,8131500,72900,0.896513558384062
"37",4,121,"D",705,8131500,634500,7.80298837852795
"38",4,122,"D",430,8131500,387000,4.75926950747095
"39",4,123,"D",139,8131500,125100,1.53846153846154
"40",4,124,"D",25,8131500,22500,0.276701715550636
"41",4,131,"D",5,8131500,4500,0.0553403431101273
"42",4,141,"D",3136,8131500,2822400,34.7094631986718
"43",4,142,"D",111,8131500,99900,1.22855561704483
"44",4,143,"D",10,8131500,9000,0.110680686220255
"45",4,152,"D",32,8131500,28800,0.354178195904815
"46",4,176,"D",3572,8131500,3214800,39.5351411178749
"47",4,190,"D",1,8131500,900,0.0110680686220255
"48",5,1,"E",1066,8137800,959400,11.7894271178943
"49",5,111,"E",21,8137800,18900,0.232249502322495
"50",5,121,"E",451,8137800,405900,4.98783454987835
"51",5,122,"E",117,8137800,105300,1.29396151293962
"52",5,123,"E",8,8137800,7200,0.08847600088476
"53",5,124,"E",2,8137800,1800,0.02211900022119
"54",5,141,"E",4633,8137800,4169700,51.2386640123866
"55",5,142,"E",392,8137800,352800,4.33532404335324
"56",5,143,"E",26,8137800,23400,0.28754700287547
"57",5,152,"E",27,8137800,24300,0.298606502986065
"58",5,176,"E",2296,8137800,2066400,25.3926122539261
"59",5,190,"E",1,8137800,900,0.011059500110595
"60",5,195,"E",2,8137800,1800,0.02211900022119
"61",6,1,"F",707,8141400,636300,7.81560910899845
"62",6,111,"F",12,8141400,10800,0.1326553172673
"63",6,121,"F",396,8141400,356400,4.37762546982091
"64",6,122,"F",100,8141400,90000,1.1054609772275
"65",6,123,"F",1,8141400,900,0.011054609772275
"66",6,141,"F",2854,8141400,2568600,31.549856290073
"67",6,142,"F",521,8141400,468900,5.7594516913553
"68",6,143,"F",17,8141400,15300,0.187928366128676
"69",6,152,"F",16,8141400,14400,0.176873756356401
"70",6,176,"F",4418,8141400,3976200,48.8392659739111
"71",6,190,"F",1,8141400,900,0.011054609772275
"72",6,195,"F",3,8141400,2700,0.0331638293168251
"73",7,1,"G",770,8136000,693000,8.51769911504425
"74",7,111,"G",78,8136000,70200,0.86283185840708
"75",7,121,"G",773,8136000,695700,8.55088495575221
"76",7,122,"G",324,8136000,291600,3.58407079646018
"77",7,123,"G",17,8136000,15300,0.188053097345133
"78",7,141,"G",3411,8136000,3069900,37.7323008849557
"79",7,142,"G",346,8136000,311400,3.82743362831858
"80",7,143,"G",17,8136000,15300,0.188053097345133
"81",7,152,"G",16,8136000,14400,0.176991150442478
"82",7,176,"G",3287,8136000,2958300,36.3606194690266
"83",7,195,"G",1,8136000,900,0.0110619469026549
"84",8,1,"H",785,8136900,706500,8.68266784647716
"85",8,111,"H",26,8136900,23400,0.287578807654021
"86",8,121,"H",671,8136900,603900,7.42174538214799
"87",8,122,"H",196,8136900,176400,2.16790178077646
"88",8,123,"H",6,8136900,5400,0.0663643402278509
"89",8,141,"H",4095,8136900,3685500,45.2936622055082
"90",8,142,"H",794,8136900,714600,8.78221435681894
"91",8,143,"H",39,8136900,35100,0.431368211481031
"92",8,152,"H",34,8136900,30600,0.376064594624488
"93",8,176,"H",2395,8136900,2155500,26.4904324742838
"94",9,1,"I",575,8136000,517500,6.36061946902655
"95",9,111,"I",112,8136000,100800,1.23893805309735
"96",9,121,"I",597,8136000,537300,6.60398230088496
"97",9,122,"I",220,8136000,198000,2.43362831858407
"98",9,123,"I",68,8136000,61200,0.752212389380531
"99",9,124,"I",13,8136000,11700,0.143805309734513
"100",9,131,"I",3,8136000,2700,0.0331858407079646
"101",9,141,"I",3689,8136000,3320100,40.8075221238938
"102",9,142,"I",196,8136000,176400,2.16814159292035
"103",9,143,"I",15,8136000,13500,0.165929203539823
"104",9,152,"I",22,8136000,19800,0.243362831858407
"105",9,176,"I",3530,8136000,3177000,39.0486725663717
"106",10,1,"J",665,8140500,598500,7.35212824765064
"107",10,111,"J",171,8140500,153900,1.89054726368159
"108",10,121,"J",1017,8140500,915300,11.2437810945274
"109",10,122,"J",766,8140500,689400,8.46876727473742
"110",10,123,"J",180,8140500,162000,1.99004975124378
"111",10,124,"J",85,8140500,76500,0.939745715865119
"112",10,131,"J",19,8140500,17100,0.210060807075732
"113",10,141,"J",2643,8140500,2378700,29.2205638474295
"114",10,142,"J",130,8140500,117000,1.43725815367606
"115",10,143,"J",14,8140500,12600,0.154781647318961
"116",10,152,"J",103,8140500,92700,1.1387506909895
"117",10,176,"J",3249,8140500,2924100,35.9203980099502
"118",10,190,"J",2,8140500,1800,0.0221116639027087
"119",10,195,"J",1,8140500,900,0.0110558319513543
"120",11,1,"K",498,8142300,448200,5.5045871559633
"121",11,111,"K",29,8142300,26100,0.320548248038024
"122",11,121,"K",374,8142300,336600,4.13396706090417
"123",11,122,"K",210,8142300,189000,2.32121145130983
"124",11,123,"K",10,8142300,9000,0.110533878633801
"125",11,124,"K",6,8142300,5400,0.0663203271802808
"126",11,131,"K",2,8142300,1800,0.0221067757267603
"127",11,141,"K",3596,8142300,3236400,39.7479827567149
"128",11,142,"K",362,8142300,325800,4.00132640654361
"129",11,143,"K",12,8142300,10800,0.132640654360562
"130",11,152,"K",34,8142300,30600,0.375815187354924
"131",11,176,"K",3913,8142300,3521700,43.2519067094064
"132",11,190,"K",1,8142300,900,0.0110533878633801
"133",12,1,"L",406,8141400,365400,4.48817156754367
"134",12,111,"L",15,8141400,13500,0.165819146584126
"135",12,121,"L",268,8141400,241200,2.96263541896971
"136",12,122,"L",40,8141400,36000,0.442184390891002
"137",12,123,"L",8,8141400,7200,0.0884368781782003
"138",12,124,"L",6,8141400,5400,0.0663276586336502
"139",12,131,"L",5,8141400,4500,0.0552730488613752
"140",12,141,"L",4724,8141400,4251600,52.2219765642273
"141",12,142,"L",245,8141400,220500,2.70837939420738
"142",12,143,"L",13,8141400,11700,0.143709927039576
"143",12,152,"L",56,8141400,50400,0.619058147247402
"144",12,176,"L",3244,8141400,2919600,35.8611541012602
"145",12,190,"L",13,8141400,11700,0.143709927039576
"146",12,195,"L",3,8141400,2700,0.0331638293168251
